# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
3.570325893321392e-05,412.90234554885217
3.573008041564677e-05,408.0651652279072
3.575388492245984e-05,403.10551359985647
3.5781444425523464e-05,398.6624562155109
3.580972809496207e-05,394.5035228937346
3.583487592613747e-05,390.8389139941685
3.58573512382261e-05,386.665595479477
3.588031353412612e-05,383.54128283650255
3.590453206302024e-05,380.4339350540022
3.723704548346543e-05,377.3706095795902
3.726628585691585e-05,374.46310331594526
3.729432894291215e-05,371.45753972683855
3.732095055121967e-05,368.50670786414
3.734635719816974e-05,365.60463656421655
3.8728941136186574e-05,362.6574343140212
3.875614642984621e-05,359.77564288456426
3.878802546978306e-05,356.58769359594663
3.882125568340784e-05,353.3548765011753
3.885127837440252e-05,350.2888709784027
3.8857443290728524e-05,347.24009109249715
3.885575537195232e-05,344.2719433495942
4.026535177073889e-05,341.2557895720644
4.026175176079558e-05,338.3022600087194
4.0259314488139444e-05,335.42500268156004
4.021103889602101e-05,332.56619820407013
4.014778439091821e-05,329.6100208201447
4.157131928985721e-05,326.7486383227453
4.150185980300577e-05,323.8706492225798
4.141691508080442e-05,320.8545323026425
1.805917528609806e-05,759.9986456638838
1.8755705866408288e-05,764.2042436577398
1.813512776441096e-05,759.3895107241412
1.7545261860649916e-05,758.1376424518187
1.8215727858892238e-05,759.0100284760823
1.892061752217669e-05,762.4856186927493
1.964604667247884e-05,752.0225940388368
1.9135208783365632e-05,751.7735889887332
1.9863099332021574e-05,745.4457669690532
2.060323092195608e-05,744.6575641746126
2.0623830322760596e-05,742.927545822894
2.0632692411056597e-05,741.3228287272642
1.9252069202444368e-05,742.5373140967778
1.9974272533726596e-05,736.6521334547969
1.9974948432608737e-05,734.1678065364798
2.076442274223008e-05,717.0613658992662
2.0767590773044396e-05,713.7935431071469
2.0773425326378263e-05,711.350776975439
2.078327241613277e-05,708.4148338196294
2.1547336762399378e-05,705.2510564050343
2.154689464665808e-05,701.9448031395585
2.079007823198054e-05,699.0627930932994
2.079016547393904e-05,696.1764658141733
2.0792165559724706e-05,693.5519284049022
2.078363241815972e-05,690.2102929218481
2.0780362806822556e-05,687.3253145758893
2.1542866581900654e-05,684.4153237693795
2.1532950116404697e-05,681.7047100061083
2.1514232167634382e-05,678.91523465543
2.0766824744549738e-05,676.0448268053266
2.1506434524305037e-05,673.3119735536739
2.1507984036595805e-05,671.0729954342291
2.2284830133867377e-05,668.2101639982619
2.2281737071140496e-05,665.8796417626927
2.228271585615542e-05,663.4218527847895
2.2280241889735645e-05,660.7768332906228
2.2276181725865216e-05,658.1944112812895
2.226782436463117e-05,655.5514005272238
2.3076446393722358e-05,652.7328132564649
2.3061025682656012e-05,649.8926738023142
2.3052008497143038e-05,645.3903662397393
2.3035783291933145e-05,644.3520575428163
2.3023660294490173e-05,641.1764620764702
2.3007857323150255e-05,638.2921511095328
2.3007086227888784e-05,636.208989499818
2.3834710902716905e-05,633.2636290951433
2.3825104342270877e-05,630.5225229070433
2.3810845915581303e-05,628.1468283267902
2.380639091287382e-05,625.1181133819205
2.379684588441104e-05,622.8267147866408
2.3791480393079493e-05,619.6680851685862
2.4655399901148905e-05,616.9418315281459
