time,x [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5]
0.734,1.1406423641152961e-05
0.735,1.0253835278782416e-05
0.736,1.0629620729587007e-05
0.737,1.063366609383883e-05
0.738,1.0265075914086755e-05
0.739,1.0268135679504445e-05
0.74,1.0273268106649413e-05
0.741,1.027507484269677e-05
0.742,1.02786750645382e-05
0.743,1.0654489740159772e-05
0.744,1.0283851732238105e-05
0.745,9.927272640569917e-06
0.746,1.06636548079936e-05
0.747,1.1456065100030972e-05
0.748,1.1876967031729344e-05
0.749,1.0675034089430794e-05
0.75,1.0677437640721547e-05
0.751,1.030745060375956e-05
0.752,1.0311028976851026e-05
0.753,1.0313911609450116e-05
0.754,1.068998634677334e-05
0.755,1.148419897489276e-05
0.756,1.1085542692297523e-05
0.757,1.0699783253299232e-05
0.758,1.0702902591212252e-05
0.759,1.0704646458060634e-05
0.76,1.0331912359643304e-05
0.761,9.970836277853911e-06
0.762,1.0709533732857429e-05
0.763,1.1098976560461004e-05
0.764,1.1503848276058647e-05
0.765,1.1506037365801948e-05
0.766,1.1925294419273475e-05
0.767,1.1927200895217055e-05
0.768,1.1928612069081704e-05
0.769,1.1930504451990951e-05
0.77,1.2364938464798147e-05
0.771,1.1935196000804488e-05
0.772,1.2371576414178487e-05
0.773,1.2824354899792163e-05
0.774,1.237570475623341e-05
0.775,1.1944879157100706e-05
0.776,1.28263607059651e-05
0.777,1.2380278948522452e-05
0.778,1.1950065231290986e-05
0.779,1.2388445312126082e-05
0.78,1.2843971461306268e-05
0.781,1.2399005078748702e-05
0.782,1.155053327030514e-05
0.783,1.2408404246736863e-05
0.784,1.2414681524225735e-05
0.785,1.1564710956865018e-05
0.786,1.1162234880780438e-05
0.787,1.1571526719556068e-05
0.788,1.1997686252492102e-05
0.789,1.078439031488123e-05
0.79,1.1178694294743346e-05
0.791,1.200935762558048e-05
0.792,1.1593569564774409e-05
0.793,1.1191035428452976e-05
0.794,1.1197760596526504e-05
0.795,1.160953096391385e-05
0.796,1.120655610562967e-05
0.797,1.0818700574275613e-05
0.798,1.12181577694936e-05
0.799,1.2054845466107831e-05
0.8,1.1231338614643962e-05
0.801,1.0843983604371364e-05
0.802,1.1242387372167102e-05
0.803,1.2079258232557807e-05
0.804,1.1252128848581252e-05
0.805,1.1256479924217282e-05
0.806,1.1261617823870825e-05
0.807,1.1675257060659721e-05
0.808,1.0877917953871689e-05
0.809,1.0881511247619031e-05
0.81,1.2114251614609498e-05
0.811,1.1696047729296628e-05
0.812,1.0514420613042068e-05
0.813,9.795678162267003e-06
0.814,1.1302201100081072e-05
0.815,1.0529919142623429e-05
0.816,9.80936540453631e-06
0.817,1.0169293184358263e-05
0.818,1.0544699097223805e-05
0.819,1.0550384441463632e-05
0.82,1.0555798510195348e-05
0.821,1.1341349568158437e-05
0.822,1.0566630068935184e-05
0.823,9.49922301544719e-06
0.824,8.850974270082789e-06
0.825,9.507650431269377e-06
0.826,1.0585756312387835e-05
0.827,1.0221373366064451e-05
0.828,9.867226452332101e-06
0.829,9.873052436811065e-06
0.83,1.0236718270961161e-05
0.831,1.0242876023916782e-05
0.832,9.88639042679888e-06
0.833,9.54278993306582e-06
0.834,9.895412594765336e-06
0.835,9.901515771830871e-06
0.836,9.559210998721524e-06
0.837,9.564362688106343e-06
0.838,9.568956404146906e-06
0.839,1.0282430890553387e-05
0.84,1.0662628213150307e-05
0.841,9.932557429184831e-06
0.842,9.937235342275981e-06
0.843,1.0678360089424526e-05
0.844,1.0309604441737043e-05
0.845,9.606167394640024e-06
0.846,9.957817835195914e-06
0.847,1.1086707449091921e-05
0.848,1.1090292393573497e-05
0.849,1.0706037761154513e-05
0.85,1.0337330953849395e-05
0.851,9.979725318299534e-06
0.852,9.982644114872935e-06
0.853,9.636587913023322e-06
0.854,9.9907678469728e-06
0.855,9.995695946531203e-06
0.856,1.0362662396528507e-05
0.857,1.036830991125846e-05
0.858,1.0748174028605884e-05
0.859,1.0378160546989687e-05
0.86,1.0384703297332836e-05
0.861,1.076513076341731e-05
0.862,1.0770054860580487e-05
0.863,1.0775773047520434e-05
0.864,1.1171980596750559e-05
0.865,1.0784151977804484e-05
0.866,1.0413494415063735e-05
0.867,1.0418238684143159e-05
0.868,1.0799526808333437e-05
0.869,1.0804620111861791e-05
0.87,1.043022628632258e-05
0.871,1.0813236802507151e-05
0.872,1.2039401610975688e-05
0.873,1.0823189451308854e-05
0.874,1.0448743416104991e-05
0.875,1.1224402197027549e-05
0.876,1.1229262014512167e-05
0.877,1.0843381349159217e-05
0.878,1.1647035282047395e-05
0.879,1.2514288720847444e-05
0.88,1.1251014583463471e-05
0.881,1.0861019778537764e-05
0.882,1.1670196806462762e-05
0.883,1.0871957395452484e-05
0.884,1.0127693610705633e-05
0.885,1.0879037160651338e-05
0.886,1.0883266927881988e-05
0.887,1.0506674197592793e-05
0.888,1.0511600921571653e-05
0.889,1.2569602750459427e-05
0.89,1.2133557111050101e-05
0.891,1.0526792269389602e-05
0.892,1.091121362822734e-05
0.893,1.1723283143142465e-05
0.894,1.0916605643371854e-05
0.895,1.0170408418472093e-05
0.896,1.0174385629621476e-05
0.897,1.0548031673135814e-05
0.898,1.0182275647286492e-05
0.899,1.018819474275655e-05
0.9,1.0563562798746087e-05
0.901,1.05683305672415e-05
0.902,1.0202317931361232e-05
0.903,1.020535836942865e-05
0.904,1.057959603216989e-05
